,Character_03,Character_05,Character_07,Character_09,Character_12,Character_13,Character_15,Character_16,Character_20,Character_22,Character_26,Character_28,Character_32,Character_34,Character_38,Character_40,Character_42,Character_44,Character_46,Character_48,Character_50,Character_52,Character_54,Character_56,Character_58,Character_60,Character_62,Character_64,Character_66,Character_68,Character_70,Character_72,Character_74,Character_76,Character_78,Character_80,Character_82,Character_84,Character_86,Character_88,Character_90,Character_92,Character_94,Character_96,Character_98,Character_100,Character_102,Character_104,Character_106,Character_108,Character_110,Character_113,Character_115,Character_117,Character_119,Character_121,Character_125,Character_127,Character_129,Character_131,Character_134,Character_136,Character_138,Character_140,Character_141,Character_144,Character_146,Character_149,Character_151,Character_153,Character_155,CODE
2,0.0,0.0,0.0,-4.0645,1930.4723517991006,398.08845577211395,0.4894582458770615,517.328335832084,39.23688155922039,32.245877061469265,39.869917541229384,55.200974512743635,82.0033008252063,82.12693173293324,156.43806306306305,142.49804804804808,126.8225225225225,137.48596096096097,124.73130630630631,123.55705705705705,117.3596096096096,124.20750750750753,110.946021021021,119.18956456456456,104.08063063063062,110.94234234234236,96.59827327327326,93.69684684684684,87.39872372372372,81.30840840840841,75.68100600600602,92.57680180180179,0.0,125.23731231231231,248.86073573573574,122.25247747747747,190.6872372372372,118.89474474474474,170.3222972972973,111.94279279279279,142.0475975975976,104.23378378378378,116.75292792792794,94.18475975975977,100.80600600600599,89.51591591591593,78.78243243243243,80.42620120120121,64.30202702702702,75.34331831831832,85.49151651651653,3.7716430192962545,54.97611804767309,171.61541679909192,1891.1699609534624,1972.1408810442679,29.729461861521,81.59159999999999,184.45834449489217,1885.404409875142,23.989600908059025,22.515859591373438,11.652231782065835,46.95278422247446,252.77412031782066,7.988894551645856,26.055618615209987,2.4834425652667425,16.86830896708286,15.713690805902383,27.408539387060156,5
4,179.1058,183.1525,1995.6582,282.8722,1905.6474,264.0,0.6092,319.0,41.1,29.7,40.22,56.5,159.0,131.3,142.7,96.4,122.4,112.2,107.1,85.1,98.0,73.0,99.2,63.9,98.0,73.0,91.0,69.3,90.8,71.0,91.9,99.0,120.0,139.3,87.4,118.9,109.9,120.0,92.2,113.9,73.9,95.1,53.9,100.1,70.5,95.8,66.4,89.4,66.6,83.6,90.0,1.4594,43.1559,168.8158,1888.7653,1954.5778,47.2027,96.9685,188.2755,1894.4022,43.7433,47.5076,18.4597,82.0285,221.0,7.5632,-243.0,1.0438,26.5594,13.8212,17.8019,5
7,179.0,0.0,0.0,284.2381,1930.4723517991006,398.08845577211395,0.4894582458770615,517.328335832084,39.23688155922039,32.245877061469265,39.869917541229384,55.200974512743635,82.0033008252063,82.12693173293324,156.43806306306305,142.49804804804808,126.8225225225225,137.48596096096097,124.73130630630631,123.55705705705705,117.3596096096096,124.20750750750753,110.946021021021,119.18956456456456,104.08063063063062,110.94234234234236,96.59827327327326,93.69684684684684,87.39872372372372,81.30840840840841,75.68100600600602,92.57680180180179,0.0,125.23731231231231,248.86073573573574,122.25247747747747,190.6872372372372,118.89474474474474,170.3222972972973,111.94279279279279,142.0475975975976,104.23378378378378,116.75292792792794,94.18475975975977,100.80600600600599,89.51591591591593,78.78243243243243,80.42620120120121,64.30202702702702,75.34331831831832,85.49151651651653,3.7716430192962545,54.97611804767309,171.61541679909192,1891.1699609534624,1972.1408810442679,29.729461861521,81.59159999999999,184.45834449489217,1885.404409875142,23.989600908059025,22.515859591373438,11.652231782065835,46.95278422247446,252.77412031782066,7.988894551645856,26.055618615209987,2.4834425652667425,16.86830896708286,15.713690805902383,27.408539387060156,5
10,176.9051,180.6344,1995.6127,281.3621,1910.1044,258.0,0.489,295.0,39.3,28.7,38.51,52.0,74.2,72.5,89.6,68.7,88.9,82.6,83.8,67.5,77.4,59.5,75.0,53.1,78.1,58.5,76.8,59.9,74.0,55.7,74.7,79.6,77.4,73.1,55.5,73.0,68.5,76.2,62.6,77.4,59.4,74.2,52.6,72.8,56.6,73.2,57.4,70.2,54.0,70.1,74.2,3.789,60.4851,171.2007,1897.9399,1953.5211,22.1221,74.1496,184.4264,1898.7042,16.3331,10.5713,12.2256,22.4398,1027.0,12.1172,1031.0,5.4326,8.765,13.0613,25.3835,5
28,178.5741,179.0502,1996.3271,277.0753,1911.1998,286.0,0.5919,314.0,39.8,30.7,40.58,54.8,81.8,81.0,108.2,78.0,102.5,95.4,98.2,83.7,92.3,72.5,87.8,65.2,90.0,70.0,84.0,66.3,83.2,65.9,83.6,89.2,94.1,95.6,73.7,94.1,87.2,90.0,72.5,90.3,66.4,87.6,60.3,86.4,65.9,86.0,62.9,80.1,62.0,80.0,85.1,2.2438,50.8601,169.1607,1883.1264,1950.922,30.1881,79.8229,184.1937,1881.6499,25.9444,24.6458,14.033,55.4961,217.0,5.8429,-233.0,0.9878,18.5203,11.2883,23.6414,5
42,176.3381,176.6555,1996.0704,282.4393,1916.6585,269.0,0.4446,307.0,39.5,30.0,40.49,56.7,178.3,93.2,95.7,71.2,92.7,86.7,86.2,69.8,79.2,62.8,79.2,55.1,78.8,62.6,78.5,63.2,76.8,61.7,83.5,89.4,84.2,86.7,63.6,84.2,79.0,80.0,68.1,78.2,60.7,75.4,52.7,78.0,61.4,76.7,57.2,74.7,57.4,72.4,77.2,2.2837,54.2675,169.058,1918.5799,1959.7682,20.3312,71.4895,182.0418,1921.5995,16.0475,13.8442,11.9838,26.7015,211.0,3.0055,1039.0,1.569,10.5619,11.1335,22.6762,5
49,177.7541,183.7845,1997.5509,282.9922,1808.1812,297.0,0.4515,307.0,38.7,29.0,44.18,60.7,141.8,98.2,100.5,73.6,99.3,91.1,98.1,77.5,90.1,70.4,88.7,63.9,87.5,65.6,85.4,67.4,87.5,68.0,84.9,89.6,101.8,96.4,69.7,101.8,92.8,98.0,80.1,94.9,69.2,84.9,56.1,86.6,63.1,80.0,63.2,82.5,62.6,83.3,87.9,1.6758,58.8434,168.8824,1790.1763,1765.9475,18.8349,71.1298,181.1535,1746.946,15.1591,9.3035,11.2711,58.4985,993.0,6.5828,-928.0,2.3785,11.4585,9.0305,21.5919,5
61,184.8768,184.9561,1995.843,276.0083,1906.5779,267.0,0.5379,312.0,40.6,29.3,44.9,61.5,91.6,90.5,118.4,81.1,111.0,103.0,104.5,85.0,92.8,72.4,87.3,63.1,89.0,70.9,85.4,67.3,84.3,66.4,86.2,92.1,106.2,116.1,81.9,106.2,101.0,102.1,79.2,96.6,70.9,90.1,56.5,92.8,69.0,90.7,68.4,91.1,66.2,83.2,89.0,2.7772,63.8474,179.365,1884.2308,1958.9409,49.116,89.726,193.3404,1884.8702,44.3388,21.8083,12.9754,64.7684,218.0,9.8723,-238.0,1.6238,13.2349,10.1991,24.5483,5
63,176.3941,179.9647,1997.4452,279.8242,1927.8152,330.0,0.6087,326.0,39.9,29.3,40.67,56.9,86.2,83.2,129.1,82.3,119.7,108.8,111.3,90.5,105.5,82.0,103.7,68.3,103.3,75.2,97.1,71.0,96.0,71.8,90.9,98.0,141.6,166.4,86.1,141.6,126.0,130.1,100.5,125.1,79.1,106.8,64.5,95.4,68.3,88.6,64.9,84.9,61.6,77.6,82.9,1.2478,44.9819,159.2428,1880.5675,1952.5782,39.6808,103.0131,187.5051,1878.82,36.433,51.3887,27.2622,71.622,224.0,7.6673,-245.0,1.0467,18.0957,12.4303,25.8268,5
64,177.4295,184.0154,1995.7585,283.6777,1921.709,297.0,0.6198,306.0,40.9,29.1,42.74,58.1,90.9,88.8,154.9,115.9,132.2,121.2,120.1,95.3,121.0,84.4,115.9,71.5,115.5,89.7,98.1,76.6,99.3,76.5,93.5,99.7,158.6,31.5,506.6,144.7,130.5,158.6,120.6,123.0,82.2,98.4,65.3,98.6,74.1,96.5,69.7,98.3,68.1,94.6,100.0,2.2269,58.2622,170.9952,1885.668,1950.1118,36.5064,74.6913,186.375,1882.131,32.2795,13.1148,14.3798,72.9868,239.0,11.1075,-237.0,1.1996,19.9533,12.5559,28.1611,5
72,173.0761,179.5033,1996.2502,280.5438,1923.4997,403.0,0.4681,293.0,39.3,29.7,41.84,56.9,78.4,78.0,418.1,439.2,97.4,91.4,90.0,74.8,87.9,69.0,83.0,60.3,81.1,63.7,78.2,63.1,79.3,61.6,81.5,87.6,90.7,92.7,65.9,90.7,83.1,86.9,68.3,88.4,63.2,75.7,47.9,78.6,59.2,78.7,58.9,75.5,57.6,73.0,77.8,2.2843,60.7342,169.3133,1888.6659,1940.0878,21.3285,73.3218,183.2993,1878.2544,17.0443,9.5806,12.986,73.1347,1040.0,11.312,-1042.0,2.6144,11.2793,9.1563,21.5666,5
82,176.1937,178.2568,1991.3817,282.6624,1925.5467,265.0,0.4601,301.0,38.8,29.7,42.02,58.5,80.6,80.2,114.8,82.6,105.0,96.5,92.9,77.8,86.1,65.4,83.9,57.7,80.2,64.8,81.0,66.8,80.7,66.6,81.9,87.5,144.5,134.0,87.2,144.5,130.1,127.1,93.4,106.9,72.1,92.0,54.4,96.0,61.7,104.6,67.2,93.8,64.1,81.8,87.4,4.7794,60.0235,170.4112,1772.3463,1766.7873,22.4032,76.0118,183.445,1752.0185,15.6237,12.7093,12.0338,72.2286,1015.0,19.2501,991.0,1.5195,15.869,10.7138,74.1951,5
83,177.2284,175.1653,1996.116,276.6197,1702.8536,853.0,0.5574,319.0,41.3,27.3,48.95,63.0,117.6,109.7,100.4,75.8,109.5,102.0,103.5,81.7,104.1,78.7,92.9,61.9,95.3,73.1,93.2,73.9,92.5,67.5,91.2,97.5,116.0,123.5,82.0,111.6,101.0,112.4,85.9,109.7,76.6,108.2,68.0,116.0,72.3,96.7,71.1,91.1,64.7,87.5,93.4,1.6638,53.8732,168.5645,1903.2152,1960.992,34.7836,70.8255,178.3788,1901.3674,31.1198,13.5961,8.8143,44.5552,204.0,5.0219,928.0,0.8533,17.5354,12.9944,16.6939,5
92,167.9443,172.7845,1996.0615,282.4684,1922.185,268.0,0.5277,927.0,38.6,28.9,37.79,51.2,75.1,73.7,103.2,78.0,103.1,95.7,94.3,73.3,88.1,68.1,82.4,59.6,81.2,64.6,85.2,66.6,82.8,61.4,82.8,88.5,84.8,86.4,64.2,84.8,78.4,84.0,67.2,80.9,63.3,76.3,51.2,79.5,59.3,75.3,59.0,72.6,56.9,70.3,74.4,1.3246,47.6403,160.0421,1875.7642,1950.1726,10.5895,60.9363,173.6687,1874.1086,7.2649,10.2322,12.6266,20.8006,215.0,2.8674,725.0,1.2325,11.0513,10.331,23.2891,5
105,0.0,0.0,0.0,-4.0934,1930.4723517991006,398.08845577211395,0.4894582458770615,517.328335832084,39.23688155922039,32.245877061469265,39.869917541229384,55.200974512743635,82.0033008252063,82.12693173293324,156.43806306306305,142.49804804804808,126.8225225225225,137.48596096096097,124.73130630630631,123.55705705705705,117.3596096096096,124.20750750750753,110.946021021021,119.18956456456456,104.08063063063062,110.94234234234236,96.59827327327326,93.69684684684684,87.39872372372372,81.30840840840841,75.68100600600602,92.57680180180179,0.0,125.23731231231231,248.86073573573574,122.25247747747747,190.6872372372372,118.89474474474474,170.3222972972973,111.94279279279279,142.0475975975976,104.23378378378378,116.75292792792794,94.18475975975977,100.80600600600599,89.51591591591593,78.78243243243243,80.42620120120121,64.30202702702702,75.34331831831832,85.49151651651653,3.7716430192962545,54.97611804767309,171.61541679909192,1891.1699609534624,1972.1408810442679,29.729461861521,81.59159999999999,184.45834449489217,1885.404409875142,23.989600908059025,22.515859591373438,11.652231782065835,46.95278422247446,252.77412031782066,7.988894551645856,26.055618615209987,2.4834425652667425,16.86830896708286,15.713690805902383,27.408539387060156,5
125,176.5083,181.8246,1988.1313,282.8125,1828.0098,292.0,0.4985,313.0,41.6,29.3,40.67,55.3,81.6,80.0,104.9,69.4,105.9,94.6,101.2,79.2,98.1,73.0,100.7,67.5,90.3,70.2,87.0,68.3,89.2,67.6,92.3,98.9,102.5,103.3,72.1,101.5,92.6,102.0,80.1,102.5,70.2,96.2,60.4,96.9,71.0,92.7,71.1,84.8,62.1,84.9,90.5,2.7967,63.7682,169.4191,1792.0221,1751.0964,24.7705,75.8515,182.3529,1849.6941,19.9738,9.1166,11.9338,76.1257,1059.0,9.9064,1008.0,2.9776,12.6642,11.2687,41.474,5
129,0.0,0.0,0.0,277.9225,1930.4723517991006,398.08845577211395,0.4894582458770615,517.328335832084,39.23688155922039,32.245877061469265,39.869917541229384,55.200974512743635,82.0033008252063,82.12693173293324,156.43806306306305,142.49804804804808,126.8225225225225,137.48596096096097,124.73130630630631,123.55705705705705,117.3596096096096,124.20750750750753,110.946021021021,119.18956456456456,104.08063063063062,110.94234234234236,96.59827327327326,93.69684684684684,87.39872372372372,81.30840840840841,75.68100600600602,92.57680180180179,0.0,125.23731231231231,248.86073573573574,122.25247747747747,190.6872372372372,118.89474474474474,170.3222972972973,111.94279279279279,142.0475975975976,104.23378378378378,116.75292792792794,94.18475975975977,100.80600600600599,89.51591591591593,78.78243243243243,80.42620120120121,64.30202702702702,75.34331831831832,85.49151651651653,3.7716430192962545,54.97611804767309,171.61541679909192,1891.1699609534624,1972.1408810442679,29.729461861521,81.59159999999999,184.45834449489217,1885.404409875142,23.989600908059025,22.515859591373438,11.652231782065835,46.95278422247446,252.77412031782066,7.988894551645856,26.055618615209987,2.4834425652667425,16.86830896708286,15.713690805902383,27.408539387060156,5
131,176.066,178.5257,1990.9833,280.7677,1835.4921,736.0,0.5666,299.0,41.5,29.5,43.28,59.7,78.6,76.5,109.5,79.9,110.8,101.5,104.6,80.4,100.8,77.3,87.0,60.3,93.8,74.4,88.3,71.8,90.8,71.1,92.9,98.2,376.5,221.1,471.8,376.5,305.0,352.9,222.3,310.6,92.5,217.9,78.9,157.1,93.0,110.2,71.6,102.3,71.7,91.3,97.2,3.0903,55.0837,162.4989,1867.4559,1915.3889,36.9868,81.5376,176.0298,1863.3378,31.8965,22.3376,12.5309,51.8815,215.0,15.1488,1029.0,1.9758,16.9924,9.7375,23.5343,5
133,174.9293,177.6271,1984.3035,277.7928,1923.1279,263.0,0.5159,937.0,38.3,28.8,40.13,54.8,83.1,81.0,89.2,67.2,86.3,79.9,76.4,61.1,81.7,64.6,78.7,53.9,77.2,59.9,76.7,60.2,77.7,59.6,77.4,82.2,83.9,88.8,61.3,83.9,76.8,81.3,66.9,76.7,56.4,73.6,49.7,76.0,57.0,74.6,56.9,74.7,53.5,73.2,77.7,2.7826,58.3588,168.528,1793.3319,1773.4423,21.6664,72.8003,181.3277,1856.5557,16.8838,11.2862,11.7997,108.3083,1015.0,16.8002,1012.0,2.0474,10.043,12.1126,18.9171,5
137,174.158,177.3319,1984.8933,276.9905,1773.9981,992.0,0.5826,335.0,31.8,26.9,44.45,55.2,108.4,93.6,450.3,89.5,129.0,132.6,100.3,84.8,98.7,79.4,97.5,64.4,99.0,75.1,92.6,72.2,86.9,66.1,89.5,94.9,301.0,38.5,506.8,187.7,135.5,286.6,170.4,297.6,122.4,301.0,98.5,161.2,95.1,126.0,82.6,106.7,69.5,98.5,104.3,2.5185,54.0799,170.1672,1878.2302,1920.4901,27.2954,93.3533,181.9607,1876.79,22.7769,34.1315,10.7936,47.9505,226.0,6.7631,993.0,1.6203,13.0701,8.6001,22.9557,5
139,0.0,0.0,0.0,-4.4084,1930.4723517991006,398.08845577211395,0.4894582458770615,517.328335832084,39.23688155922039,32.245877061469265,39.869917541229384,55.200974512743635,82.0033008252063,82.12693173293324,156.43806306306305,142.49804804804808,126.8225225225225,137.48596096096097,124.73130630630631,123.55705705705705,117.3596096096096,124.20750750750753,110.946021021021,119.18956456456456,104.08063063063062,110.94234234234236,96.59827327327326,93.69684684684684,87.39872372372372,81.30840840840841,75.68100600600602,92.57680180180179,0.0,125.23731231231231,248.86073573573574,122.25247747747747,190.6872372372372,118.89474474474474,170.3222972972973,111.94279279279279,142.0475975975976,104.23378378378378,116.75292792792794,94.18475975975977,100.80600600600599,89.51591591591593,78.78243243243243,80.42620120120121,64.30202702702702,75.34331831831832,85.49151651651653,3.7716430192962545,54.97611804767309,171.61541679909192,1891.1699609534624,1972.1408810442679,29.729461861521,81.59159999999999,184.45834449489217,1885.404409875142,23.989600908059025,22.515859591373438,11.652231782065835,46.95278422247446,252.77412031782066,7.988894551645856,26.055618615209987,2.4834425652667425,16.86830896708286,15.713690805902383,27.408539387060156,5
145,178.2766,182.3233,1990.8983,277.4522,1914.0364,283.0,0.4577,311.0,39.6,29.6,40.04,54.7,75.9,75.9,118.6,78.3,112.9,102.3,110.5,85.3,103.8,78.2,105.5,69.0,107.7,76.6,96.2,71.4,98.3,76.8,95.0,102.2,94.7,94.3,69.3,92.8,86.0,94.5,76.1,94.7,68.8,90.6,60.9,90.5,68.3,91.6,66.7,86.7,63.6,85.7,91.6,2.528,60.6608,169.7195,1672.2811,1615.799,21.474,73.9892,182.7414,1730.2969,16.946,10.2621,12.0219,121.5274,1042.0,31.3589,1040.0,2.6631,10.2585,12.8885,28.6369,5
158,174.1858,178.4706,1989.0932,282.7747,1941.6793,271.0,0.5431,304.0,40.4,31.1,44.27,62.5,126.4,103.1,114.4,80.7,108.4,99.0,104.4,83.5,98.2,74.3,93.7,63.5,89.1,68.6,87.4,69.6,86.9,67.9,85.2,91.4,99.7,104.2,74.2,99.7,91.6,96.2,78.0,93.9,66.4,83.6,55.8,87.1,63.7,82.3,62.3,77.2,58.5,76.2,81.4,5.1139,49.827,163.1382,1798.5485,1772.4168,17.9206,66.6955,178.3822,1790.9135,10.8067,13.519,14.244,38.6939,1079.0,14.716,1027.0,1.0603,16.4514,12.4837,37.444,5
161,172.1985,174.1822,1991.0789,280.6265,1921.4303,270.0,0.5739,294.0,39.4,28.7,37.16,50.4,75.3,74.0,107.2,74.6,94.0,86.5,85.8,70.4,85.2,63.5,79.5,54.7,76.2,59.9,75.2,59.2,78.1,59.9,78.8,84.1,85.8,84.2,64.0,85.8,80.3,84.2,68.1,78.3,59.7,78.1,50.0,79.0,56.6,73.9,58.8,73.0,54.3,71.0,75.2,2.3377,56.9147,165.8788,1822.2972,1788.9933,16.481,68.337,179.2672,1735.4348,12.1433,8.5085,12.3884,86.8625,1000.0,6.1233,-938.0,1.4548,10.3117,10.3016,35.2224,5
173,181.4148,180.9387,1994.7984,279.2626,1959.3676,962.0,0.6287,317.0,41.0,29.7,45.71,62.9,86.1,84.6,114.7,83.1,112.8,104.9,105.7,85.2,106.6,79.5,92.9,61.9,94.1,74.3,90.7,72.6,84.3,67.1,85.2,90.7,150.7,203.1,100.7,133.6,121.8,150.7,118.5,146.3,90.8,109.6,59.1,101.4,76.6,93.8,68.7,92.1,66.9,82.8,88.2,1.5497,58.1292,166.1623,1540.7303,1531.704,32.4083,80.3753,186.6988,1558.3235,28.8586,18.4664,19.5365,65.8273,922.0,18.2875,940.0,0.8306,22.1899,20.5092,33.3607,5
174,176.3365,181.9702,1994.9475,282.2236,1907.0705,282.0,0.4782,320.0,40.7,29.4,41.66,58.4,133.2,102.3,118.1,89.3,127.4,117.2,111.0,92.7,99.6,75.9,92.1,66.6,93.8,73.3,85.8,68.5,88.7,71.7,92.0,97.8,241.8,251.4,108.0,241.8,212.8,121.7,92.4,101.5,75.7,97.6,58.3,95.4,67.8,97.5,65.8,88.9,65.9,84.4,90.2,2.3199,55.921,178.2634,1891.9903,1945.5975,34.1117,73.6817,185.5844,1891.5116,29.7918,14.3399,6.321,35.6305,215.0,4.627,262.0,1.3894,19.8855,13.1812,20.6171,5
177,174.4722,176.7733,1994.3982,277.0833,1982.8471,848.0,0.5581,286.0,39.5,29.2,45.35,63.2,90.3,86.8,110.7,79.0,107.9,99.3,88.8,72.4,86.6,66.0,79.9,56.8,81.0,63.4,82.9,64.3,79.1,61.6,84.5,90.9,114.0,114.1,71.5,114.0,103.1,95.1,71.4,85.4,62.6,80.4,55.4,82.1,59.6,80.7,59.5,80.9,59.2,77.2,82.8,2.9668,55.0986,168.5728,1833.5609,1748.0777,19.985,71.9412,182.3743,1645.4924,15.0182,13.4952,12.8015,191.148,1003.0,8.3505,929.0,1.2052,12.8281,12.9127,17.3206,5
180,175.1689,178.3428,1995.0742,277.0561,1916.5798,271.0,0.5513,295.0,40.3,29.0,48.77,66.1,123.1,113.3,88.2,63.1,92.2,86.1,100.4,84.0,104.8,76.6,92.1,63.4,85.9,67.9,85.7,69.0,82.0,65.1,85.1,91.2,111.7,115.8,76.3,104.3,96.9,96.8,76.4,111.7,78.6,95.5,61.5,96.4,67.6,83.6,64.0,75.1,57.5,79.9,85.4,2.7866,53.0852,168.809,1885.6428,1959.4943,15.6881,67.0055,182.6181,1881.575,10.9015,10.8067,12.809,25.8589,1036.0,10.715,1041.0,1.6868,11.2518,10.4462,26.8862,5
182,171.8466,175.6553,1997.2133,280.3581,1835.1658,93.0,0.617,294.0,41.4,30.4,45.53,62.9,82.7,81.8,83.4,58.4,89.7,82.2,86.9,72.5,89.3,65.3,95.4,57.5,119.2,75.7,108.3,70.8,99.4,74.4,85.5,91.7,86.6,90.3,64.2,86.6,80.2,83.1,67.6,81.1,60.4,75.9,49.2,74.7,57.3,72.4,56.0,76.8,55.8,74.6,79.7,2.7806,59.4273,168.1351,1739.5072,1721.9671,19.7142,71.0384,181.0392,1722.4062,14.9336,8.6822,11.9041,48.6883,1016.0,6.5511,-997.0,1.6617,12.8406,13.7001,25.1069,5
183,0.0,0.0,0.0,281.3187,1930.4723517991006,398.08845577211395,0.4894582458770615,517.328335832084,39.23688155922039,32.245877061469265,39.869917541229384,55.200974512743635,82.0033008252063,82.12693173293324,156.43806306306305,142.49804804804808,126.8225225225225,137.48596096096097,124.73130630630631,123.55705705705705,117.3596096096096,124.20750750750753,110.946021021021,119.18956456456456,104.08063063063062,110.94234234234236,96.59827327327326,93.69684684684684,87.39872372372372,81.30840840840841,75.68100600600602,92.57680180180179,0.0,125.23731231231231,248.86073573573574,122.25247747747747,190.6872372372372,118.89474474474474,170.3222972972973,111.94279279279279,142.0475975975976,104.23378378378378,116.75292792792794,94.18475975975977,100.80600600600599,89.51591591591593,78.78243243243243,80.42620120120121,64.30202702702702,75.34331831831832,85.49151651651653,3.7716430192962545,54.97611804767309,171.61541679909192,1891.1699609534624,1972.1408810442679,29.729461861521,81.59159999999999,184.45834449489217,1885.404409875142,23.989600908059025,22.515859591373438,11.652231782065835,46.95278422247446,252.77412031782066,7.988894551645856,26.055618615209987,2.4834425652667425,16.86830896708286,15.713690805902383,27.408539387060156,5
187,172.8012,176.0544,1995.375,278.4792,1949.1563,267.0,0.6608,292.0,41.5,30.6,43.28,59.3,88.4,87.2,104.3,75.1,95.1,88.2,91.8,75.2,89.9,67.4,85.5,58.7,81.9,64.8,81.7,62.2,82.4,65.7,79.8,85.5,84.8,88.3,63.7,83.2,77.7,82.8,68.5,84.8,63.4,77.9,51.6,78.7,58.5,81.5,61.2,75.9,55.2,72.8,77.6,2.2018,53.1889,167.9897,1610.0697,1677.3959,14.6248,67.6365,181.5407,1717.424,10.423,11.2918,12.5511,109.4813,999.0,30.953,-1014.0,0.9081,14.7234,11.8749,58.5224,5
189,178.5662,183.6445,1994.8498,283.4082,1916.5603,291.0,0.631,312.0,39.9,30.3,44.45,60.9,86.4,85.7,101.9,76.7,106.4,99.6,102.5,83.5,92.2,69.6,85.1,57.8,84.7,66.0,81.5,66.9,84.9,68.0,84.0,90.3,104.0,103.3,78.3,104.0,97.6,97.2,74.3,91.1,70.6,90.1,55.3,103.4,65.0,93.9,61.7,86.4,63.0,86.5,92.1,2.4715,58.3789,172.3731,1881.8651,1969.6755,34.353,80.5102,187.6593,1877.9923,29.8815,18.3608,14.2862,40.5349,211.0,4.6579,-815.0,1.947,13.0307,9.4038,28.0768,5
191,178.2857,179.7933,1995.7535,282.0093,1910.3751,281.0,0.557,315.0,42.2,29.3,57.59,68.4,111.4,103.3,118.4,76.7,115.2,104.6,111.8,86.1,98.4,71.5,99.5,67.5,95.5,70.9,99.2,73.6,89.2,66.1,92.1,99.4,93.1,90.5,66.4,88.1,82.0,87.4,72.4,86.5,65.6,88.4,61.5,83.8,63.9,85.2,63.5,93.1,66.0,80.7,86.5,3.9258,65.7478,174.5318,1850.6775,1828.9056,25.4255,77.0588,185.6476,1830.3404,19.4998,8.406,10.1158,38.5758,982.0,13.7704,989.0,3.2826,10.2852,11.0924,14.8486,5
193,177.1863,186.1527,1996.0192,277.2276,1913.8551,909.0,0.5178,307.0,41.0,29.6,43.1,60.1,88.2,87.1,88.2,64.0,95.5,87.6,96.3,79.4,95.7,71.4,102.6,66.0,95.7,69.0,99.4,74.8,97.0,68.8,91.4,99.0,94.7,95.6,68.9,89.6,82.3,87.8,71.1,87.9,65.9,90.9,56.3,91.4,67.4,90.4,66.8,94.7,67.1,84.2,90.9,3.798,64.4799,173.4755,1811.5112,1803.2566,24.8884,77.4635,186.7279,1860.5986,19.0904,9.9449,12.2523,89.1937,1049.0,6.592,1046.0,2.0927,11.3986,11.6127,8.8823,5
194,232.5079,233.0633,1996.8389,277.5705,1916.1358,272.0,0.4837,937.0,40.0,33.5,42.92,56.6,91.0,89.4,51.6,516.3,163.4,151.3,696.2,516.3,215.3,218.8,36.1,516.3,294.6,516.3,291.5,296.0,133.6,92.9,89.5,94.9,516.3,6.8,516.3,115.0,167.0,10.6,516.3,143.0,516.3,54.2,516.3,6.2,516.3,74.5,516.3,128.3,61.4,92.4,98.7,3.7716430192962545,54.97611804767309,171.61541679909192,1891.1699609534624,1972.1408810442679,29.729461861521,81.59159999999999,184.45834449489217,1885.404409875142,23.989600908059025,22.515859591373438,11.652231782065835,46.95278422247446,252.77412031782066,7.988894551645856,26.055618615209987,2.4834425652667425,16.86830896708286,15.713690805902383,27.408539387060156,3
195,174.1382,174.8523,1990.2834,281.2526,1917.9747,283.0,0.3951,296.0,38.4,34.3,40.58,52.8,102.7,99.6,194.8,138.9,157.2,146.3,403.6,106.4,268.1,204.7,105.3,69.1,89.0,69.9,81.6,65.8,70.7,56.2,74.0,78.5,202.5,121.9,517.7,150.8,133.0,175.5,124.5,202.5,102.9,123.3,52.9,143.2,74.5,118.3,70.9,93.0,62.0,74.3,78.8,2.4497,46.3975,167.804,1887.1224,1976.8761,31.1672,77.3045,180.6812,1880.6735,26.7175,26.4344,11.8771,41.8713,215.0,5.6502,323.0,1.856,10.5501,2.5092,24.5515,3
